,Unnamed: 0.1,Unnamed: 0,id,answer,score_me,score_other,score_avg,bert_distance,bert_similarity_score,normalized_bert_score,elmo_similarity_score,normalized_elmo_score,gpt_similarity_score,normalized_gpt_score,gpt2_similarity_score,normalized_gpt2_score,roberta_similarity_score,normalized_roberta_score,xlnet_similarity_score,normalized_xlnet_score,universal_similarity_score,normalized_universal_score
10,10,10,1.1,A program that stimulates the behavior of portions of the desired software product.,5,5,5,0.01170969,0.98829031,0.985058177,0.825634778,0.846969011,0.998502601,0.982879441,0.999985426,0.982815084,0.984878102,0.959638453,0.989707503,0.974241853,0.930559814,0.913441719
11,11,11,1.1,A program that simulates the behavior of portions of the desired software product.,5,5,5,0.011456907,0.988543093,0.985380734,0.911478996,0.92230987,0.998502601,0.982879441,0.999985426,0.982815084,0.984878102,0.959638453,0.989707503,0.974241853,0.944817185,0.931213725
12,12,12,1.1,To lay out the basics and give you a starting point in the actual problem solving.,2,2,2,0.035905242,0.964094758,0.954184118,0.138100311,0.243556943,0.993524055,0.925957055,0.999964561,0.958212999,0.961509136,0.897264827,0.984496044,0.961199582,0.74439007,0.681378611
13,13,13,1.1,To simulate problem solving for parts of the problem,4,5,4.5,0.034516156,0.965483844,0.955956623,0.419138521,0.490209083,0.995931868,0.953486868,0.999978315,0.974430389,0.975632572,0.934961399,0.971440329,0.928526167,0.821322203,0.777275556
14,14,14,1.1,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2,2,2,0.032634735,0.967365265,0.958357357,0.274500042,0.363267659,0.99519701,0.945084848,0.999977594,0.973580228,0.985423052,0.961092968,0.97875269,0.946826184,0.68330723,0.605238024
15,15,15,1.1,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4,5,4.5,0.024274349,0.975725651,0.969025394,0.354126483,0.433151509,0.994691202,0.939301671,0.999967329,0.961476802,0.925978812,0.80243157,0.974102098,0.935187547,0.812520802,0.766304491
16,16,16,1.1,Program that simulates the behavior of portions of the desired software product,5,5,5,0.021305799,0.978694201,0.972813329,0.869400203,0.885379574,0.997516662,0.971606667,0.999986169,0.983691599,0.985284917,0.960724275,0.98869429,0.971706172,0.936273098,0.920563405
17,17,17,1.1,it provides a limited proof of concept to verify with the client before actually programming the whole application.,2,2,2,0.020585239,0.979414761,0.97373278,0.338255763,0.419222631,0.993607669,0.926913062,0.99997616,0.971890482,0.96671733,0.91116591,0.969591597,0.923899504,0.762940943,0.704502526
18,18,18,1.1,It tests the main function of the program while leaving out the finer details.,2,2,2,0.025289357,0.974710643,0.967730222,0.294089407,0.380460192,0.998025717,0.977426968,0.999956381,0.948568029,0.975928509,0.935751279,0.978294405,0.945679274,0.745183349,0.682367443
19,19,19,1.1,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,3,2,2.5,0.027671933,0.972328067,0.964690002,0.385987639,0.461114335,0.99242992,0.913447222,0.999981999,0.978775121,0.948415295,0.862316325,0.98284496,0.957067556,0.799007535,0.749460021
20,20,20,1.1,it simulates the behavior of portions of the desired software product,5,5,5,0.016664326,0.983335674,0.978735952,0.891450822,0.904732218,0.997823045,0.975109705,0.999986721,0.984342876,0.989407704,0.971728321,0.988642727,0.971577129,0.94791913,0.935080342
21,21,21,1.1,It simulates the behavior of portions of the desired software product.,5,5,5,0.008736014,0.991263986,0.988852653,0.944082141,0.950923899,1,1,0.999987873,0.985700319,0.98569302,0.961813534,0.989224159,0.973032229,0.944841087,0.931243519
22,22,22,1.1,A prototype program is used in problem solving to collect data for the problem.,1,2,1.5,0.040467381,0.959532619,0.948362727,0.272711277,0.361697756,0.994843417,0.941042029,0.99993945,0.92860468,0.974435982,0.931767605,0.839008921,0.597101469,0.702009082,0.628550135
23,23,23,1.1,To ease the understanding of problem under discussion and to ease the understanding of the program itself,2,3,2.5,0.024416924,0.975583077,0.968843466,0.126687288,0.233540346,0.998517575,0.983050644,0.999989215,0.987283025,0.950820081,0.86873489,0.969653784,0.924055134,0.686557889,0.609290014
24,24,24,1.1,it simulates the behavior of portions of the desired software product,5,5,5,0.016664326,0.983335674,0.978735952,0.891450822,0.904732218,0.997823045,0.975109705,0.999986721,0.984342876,0.989407704,0.971728321,0.988642727,0.971577129,0.94791913,0.935080342
25,25,25,1.1,The role of a prototype program is to help spot key problems that may arise during the actual programing.,2,2,2,0.031364143,0.968635857,0.959978661,0.323851407,0.406580701,0.995593438,0.949617416,0.999965402,0.959205508,0.963648702,0.902975498,0.975837676,0.939531029,0.741543591,0.677830436
26,26,26,1.1,"the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.",4,2,3,0.029005647,0.970994353,0.962988154,0.325522006,0.408046896,0.99357862,0.926580926,0.999967668,0.961877043,0.969481986,0.918544997,0.983070689,0.957632469,0.73696059,0.672117663
27,27,27,1.1,to show that a certain part of the program works as it is supposed to,4,2,3,0.034177065,0.965822935,0.95638931,0.173815399,0.274902157,0.98695229,0.850818552,0.999919858,0.905503645,0.967344627,0.912840216,0.972538266,0.93127388,0.6899876,0.613565195
28,28,28,1.1,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. ",3,2,2.5,0.023513734,0.976486266,0.969995956,0.369107306,0.446299373,0.992495437,0.914196314,0.999983329,0.980342979,0.950811873,0.868712982,0.967348365,0.918285561,0.814595282,0.768890359
29,29,29,1.2,Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,5,2,3.5,0.06367147,0.93632853,0.918753798,0.293439865,0.379890125,0.986294737,0.843300397,0.999933107,0.92112534,0.93714254,0.832228447,0.941341398,0.85320016,0.832716584,0.791478807
30,30,30,1.2,The implementation phase and the maintenance phase are effected,3,5,4,0.057609141,0.942390859,0.926489463,0.577789247,0.629448302,0.991254753,0.900010915,0.999943062,0.932863743,0.96484508,0.906168726,0.94900218,0.872372141,0.847555339,0.809975517
31,31,31,1.2,"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",4,5,4.5,0.053380549,0.946619451,0.93188524,0.467555612,0.532702163,0.98899593,0.874184579,0.999904851,0.887808855,0.906678091,0.750916412,0.936285668,0.84054762,0.71700567,0.647243585
32,32,32,1.2,"In RUP the stages in the software life cycle are influenced by the testing stage is:  Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.  Construction phase- iterative development of remaining system.  Transition phase-testing and deployment of the system.",2,4,3,0.043709874,0.956290126,0.944225235,0.502619624,0.563475962,0.986182072,0.84201224,0.999937678,0.92651522,0.920460747,0.787703416,0.95160903,0.87889608,0.864845574,0.831528028
33,33,33,1.2,"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",3,3,3,0.053514242,0.946485758,0.931714645,0.416627556,0.488005344,0.991275208,0.900244782,0.99988749,0.867338446,0.943882555,0.850218082,0.943528751,0.858674261,0.741493225,0.677767654
34,34,34,1.2,"Elaboration, Construction, and Transition are all affected by testing",2,2,2,0.071707428,0.928292573,0.908499738,0.13181667,0.238042129,0.986972114,0.851045207,0.99985934,0.834145474,0.936863234,0.831482957,0.942320192,0.855649704,0.75421989,0.693631614
35,35,35,1.2,"Refining, Production, Maintenance",3,4,3.5,0.127899945,0.872100055,0.836796845,0.111966021,0.22062028,0.990930421,0.896302647,0.999858475,0.833126363,0.926740716,0.804465152,0.941198235,0.852841879,0.61210078,0.516478218
36,36,36,1.2,Refining the solution,3,5,4,0.096245289,0.903754711,0.877188885,0.219870761,0.315322474,0.981429926,0.787678408,0.99989183,0.872455619,0.871310785,0.656518264,0.89504053,0.737326959,0.641978979,0.553721798
37,37,37,1.2,#NAME?,3,1,2,0.565203041,0.434796959,0.278788433,0.110221461,0.219089173,0.983686755,0.81348195,0.999662282,0.601792803,0.923819609,0.796668485,0.974882983,0.937141801,0.418235689,0.274822757
38,38,38,1.2,Refining and Coding,5,5,5,0.08910805,0.91089195,0.88629616,0.14968434,0.253723622,0.97847868,0.753935234,0.99990312,0.885768106,0.871310785,0.656518264,0.941198239,0.852841889,0.580309868,0.476850416
39,39,39,1.2,"The second half of the Elaboration phase, Construction phase, and the Transition phase. ",2,3,2.5,0.054634571,0.945365429,0.93028508,0.598138869,0.647308072,0.988564692,0.869254011,0.999923168,0.909406164,0.972721811,0.927192347,0.957141755,0.892742355,0.848600149,0.811277886
40,40,40,1.2,"The refining step, the production step, and the maintenance stage.  ",3,4,3.5,0.058953822,0.941046178,0.924773621,0.480811864,0.544336463,0.990065103,0.886409014,0.999934839,0.923167552,0.941460465,0.843753331,0.943144076,0.857711568,0.796304345,0.746090458
41,41,41,1.2,"Elaboration, Construction, Transition",2,2,2,0.103561819,0.896438181,0.867852832,0.076099396,0.18914207,0.990930421,0.896302647,0.999878709,0.856984282,0.92559634,0.801410722,0.941198235,0.852841879,0.699962318,0.625998816
42,42,42,1.2,Refining.,3,3,3,0.194137216,0.805862784,0.752276624,0.1389952,0.244342339,0.973607083,0.698235661,0.999849109,0.822082426,0.874491557,0.665007997,0.941198241,0.852841894,0.41651836,0.272682083
43,43,43,1.2,"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",2,1,1.5,0.05351752,0.94648248,0.931710462,0.410995305,0.483062219,0.994148529,0.933097002,0.999910147,0.894053656,0.964539017,0.90535182,0.953670703,0.884055652,0.78115648,0.727208439
44,44,44,1.2,"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.  Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",5,5,5,0.054532111,0.945467889,0.930415822,0.359303325,0.437694946,0.988013615,0.862953251,0.999909603,0.893411544,0.933969108,0.823758304,0.944561551,0.86125896,0.864520371,0.831122658
45,45,45,1.2,"Testing, refining, production, and maintenance.",3,4,3.5,0.108796537,0.891203463,0.861173215,0.221128315,0.316426161,0.989661804,0.881797873,0.999845783,0.818161011,0.940296502,0.840646622,0.944522004,0.86115999,0.66613096,0.58382757
46,46,46,1.2,"Depending on how the work is done, Testing is spread throughout the  process as to prevent errors from showing up later on due to lack of foresight. ",2,1,1.5,0.071650922,0.928349078,0.90857184,0.052878115,0.168761999,0.982976638,0.805362804,0.999924946,0.911503051,0.963152782,0.901651848,0.937311507,0.843114899,0.771539807,0.715221126
47,47,47,1.2,"Elaboration, construction, and transition.",2,3,2.5,0.109662354,0.890337646,0.860068414,0.131165326,0.237470478,0.989272844,0.877350688,0.999871681,0.848697911,0.915527298,0.774535649,0.930726944,0.826636279,0.699962318,0.625998816
48,48,48,1.2,"All stages are influenced except setting the program requirements.  If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",2,1,1.5,0.059748232,0.940251768,0.923759935,0.352284581,0.43153497,0.992405601,0.913169171,0.99991775,0.903018452,0.944551278,0.852002957,0.931512399,0.82860197,0.788965166,0.736942071
49,49,49,1.2,"Refining, production, and maintenance",3,3,3,0.111213803,0.888786197,0.85808873,0.152301341,0.256020424,0.989690411,0.882124959,0.999908834,0.892504978,0.903666505,0.74287825,0.924193633,0.810285923,0.61210078,0.516478218
50,50,50,1.2,coding and refining,5,5,5,0.08910805,0.91089195,0.88629616,0.204779774,0.302077925,0.97847868,0.753935234,0.99990312,0.885768106,0.871310785,0.656518264,0.920740882,0.80164502,0.580309868,0.476850416
51,51,51,1.2,"refining, production, maintenance.",3,4,3.5,0.134016275,0.865983725,0.828992272,0.171022147,0.272450669,0.990760194,0.894356356,0.999909608,0.893417543,0.903666505,0.74287825,0.924193633,0.810285923,0.61210078,0.516478218
52,52,52,1.2,"Removing logical errors, testing for valid data, random data and actual data.",2,0,1,0.082456589,0.917543411,0.894783571,0.090115279,0.201443058,0.990398515,0.890221088,0.999901646,0.884029049,0.956747023,0.884554369,0.932097317,0.830065794,0.684588969,0.606835728
53,53,53,1.2,1- specification 2- design 3- risk analysis 4- verification 5- coding 6- testing 7- refining 8- production 9- maintenance,1,4,2.5,0.144389033,0.855610967,0.815756404,0.155426294,0.258763027,0.98774081,0.859834122,0.999845347,0.817646694,0.891715212,0.7109793,0.949842422,0.874474942,0.824729741,0.781523099
54,54,54,1.2,"Refining stage, Production stage, and Maintenance stage.  ",3,4,3.5,0.083961546,0.916038454,0.892863212,0.59597671,0.645410462,0.993416028,0.924721931,0.999923626,0.909946951,0.926740716,0.804465152,0.941198235,0.852841879,0.61210078,0.516478218
55,55,55,1.2,Testing could affect all parts of the life cycle; it could make you go back   to specification if it does not test well.,2,2,2,0.080972672,0.919027329,0.896677082,0.232819632,0.326687002,0.985460677,0.833764148,0.999900565,0.882754865,0.958305521,0.888714124,0.935093519,0.837564131,0.710197806,0.638757491
56,56,56,1.2,coding,3,3,3,0.132930934,0.867069066,0.830377191,0.209222376,0.305976959,0.957544689,0.514585721,0.999684292,0.62774481,0.874491557,0.665007997,0.876359821,0.690576355,0.518726945,0.400086468
57,57,57,1.2,"The Individual components and steps such as  analysis, design, and implementing code  as well as the entire system are tested for execution of the requirements identified during the analysis stage. i.e. Main output ",1,2,1.5,0.056088448,0.943911552,0.928429902,0.335814118,0.41707973,0.988918715,0.873301746,0.999924629,0.911128572,0.948114829,0.861514357,0.950552907,0.876253012,0.824515164,0.781255626
58,58,58,1.3,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",4,5,4.5,0.117070556,0.882929444,0.850615385,0.229781941,0.324020984,0.974974803,0.713873544,0.999913164,0.897610404,0.748568986,0.328910653,0.975227021,0.938002795,0.536645114,0.422421709
59,59,59,1.3,"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5,5,5,0.115385056,0.884614945,0.85276612,0.178167313,0.278721598,0.969233838,0.648234015,0.999923511,0.909810475,0.750212189,0.333296492,0.963113334,0.907686913,0.516811192,0.397698456
60,60,60,1.3,The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier.,3,4,3.5,0.100635052,0.899364948,0.871587451,0.316773772,0.400369041,0.989768763,0.883020799,0.999964562,0.958214606,0.900787369,0.735193607,0.980061865,0.950102544,0.511329472,0.390865418
61,61,61,1.3,The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:  Encapsulation- Objects combine data and operations.  Inheritance- Classes can inherit properties from other classes.  Polymorphism- Objects can determine appropriate operations at execution time.,2,3,2.5,0.110446513,0.889553487,0.85906781,0.387108326,0.462097901,0.98082336,0.780743218,0.999965901,0.959793001,0.717907128,0.247071718,0.984381279,0.96091237,0.638219237,0.549035229
62,62,62,1.3,Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,3,4,3.5,0.105224848,0.894775152,0.86573077,0.333148122,0.414739928,0.989621045,0.881331853,0.999961514,0.954620797,0.899311395,0.731254116,0.981472842,0.953633675,0.514976382,0.395411341
63,63,63,1.3,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,1,1,1,0.119017243,0.880982757,0.848131368,0.238838151,0.331969133,0.985690014,0.836386281,0.999931146,0.918812901,0.790849934,0.441761861,0.980623862,0.951509005,0.54422462,0.431869665
64,64,64,1.3,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",4,4,4,0.089321196,0.910678804,0.88602418,0.362105638,0.440154385,0.971747816,0.676977673,0.999981365,0.978026999,0.913871139,0.770115229,0.990260643,0.975626149,0.572289109,0.466852431
65,65,65,1.3,Encapsulation-objects combine data and operations Inheritance- classes can inherit properties from other classes Polymorphism- Objects can determine appropriate operations at execution time,2,3,2.5,0.160642684,0.839357317,0.795016387,0.200599209,0.298408867,0.987916835,0.861846708,0.999953531,0.945207788,0.851285497,0.603069179,0.986172482,0.96539506,0.606546283,0.509554462
66,66,66,1.3,#NAME?,3,3,3,0.346277297,0.653722704,0.558142519,0.192947924,0.291693746,0.994110906,0.932666841,0.999936019,0.924559512,0.923819609,0.796668485,0.974882983,0.937141801,0.418235689,0.274822757
67,67,67,1.3,Re-usability  and ease of maintenance,3,5,4,0.134337962,0.865662038,0.828581793,0.334813386,0.416201442,0.998274334,0.980269532,0.999985843,0.983306783,0.978723044,0.943210114,0.960726526,0.901713653,0.66986686,0.58848442
68,68,68,1.3,"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.   Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.   Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism. ",5,5,5,0.120796323,0.879203677,0.845861223,0.257909179,0.34870675,0.979006231,0.759967007,0.999953784,0.945506219,0.714564135,0.238149004,0.971930962,0.929754032,0.583454967,0.480770824
69,69,69,1.3,"Existing classes can be reused, and program maintenance and verification are easier.",3,4,3.5,0.094477534,0.905522466,0.879444579,0.418440223,0.489596224,0.981560143,0.789167258,0.999974792,0.970277221,0.964524911,0.90531417,0.988757606,0.971864627,0.511731803,0.391366929
70,70,70,1.3,Using different modules allows for easier debugging,2,2,2,0.148494005,0.851505995,0.810518369,0.118523404,0.226375343,0.990595116,0.892468928,0.999939474,0.928632442,0.932177264,0.818975731,0.983188509,0.957927327,0.433936357,0.294393852
71,71,71,1.3,"Data encapsulation concept,the use of functions or methods to manipulate data.",3,4,3.5,0.108998478,0.891001523,0.860915535,0.401530922,0.474755838,0.98508776,0.829500385,0.999953587,0.945273659,0.971312636,0.923431147,0.976915154,0.942227541,0.580301225,0.476839643
72,72,72,1.3,"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",5,4,4.5,0.09687829,0.90312171,0.876381161,0.311963469,0.396147297,0.973176453,0.693312047,0.999982367,0.979208455,0.87241385,0.659462432,0.983472943,0.958639155,0.555974483,0.446516029
73,73,73,1.3,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",5,5,5,0.108676374,0.891323626,0.861326546,0.307252049,0.392012337,0.963692749,0.584879788,0.99995646,0.94866124,0.625338988,0,0.979828186,0.949517736,0.565391123,0.458253999
74,74,74,1.3,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",4,5,4.5,0.104338646,0.895661354,0.866861583,0.321000427,0.404078549,0.983601457,0.812506685,0.999975156,0.970706607,0.852755739,0.606993372,0.967034157,0.917499219,0.511685431,0.391309126
75,75,75,1.3,Data Abstraction and control... it is possible to isolate elements from other elements a lot easier and prevent tampering of data.,3,4,3.5,0.100212872,0.899787128,0.872126161,0.329621136,0.411644483,0.98652035,0.845879948,0.999973485,0.968736026,0.901726514,0.73770026,0.972900221,0.932179713,0.594330132,0.494326865
76,76,76,1.3,Encapsulation - Objects use operations without knowing how the operation works. Inheritance - cuts redundancy by reusing earlier classes. Polymorphism - objects select the correct operation to use in the situation.,5,3,4,0.104868352,0.895131648,0.866185666,0.421211988,0.492028853,0.972937441,0.690579294,0.999968429,0.962774203,0.831086548,0.54915658,0.982796579,0.956946477,0.621109068,0.527707172
77,77,77,1.3,"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",5,4,4.5,0.115245819,0.884754181,0.852943789,0.209139943,0.305904612,0.98632174,0.843609133,0.999962473,0.955751577,0.876166625,0.669478886,0.97601621,0.939977831,0.553483009,0.443410373
78,78,78,1.3,"Existing classes can be reused, Program maintenance and verification are easier ",3,4,3.5,0.124755442,0.875244558,0.8408093,0.277752668,0.366122314,0.984394466,0.821573588,0.999975714,0.971363974,0.96495607,0.906464967,1,1,0.511731803,0.391366929
79,79,79,1.3,"Existing classes can be feused, Program maintenance and verification are easier",3,4,3.5,0.122013569,0.877986431,0.84430799,0.246919796,0.339061959,0.984394466,0.821573588,0.999975714,0.971363974,0.96495607,0.906464967,1,1,0.489562422,0.363732495
80,80,80,1.3,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",5,5,5,0.077510834,0.922489166,0.901094464,0.509514868,0.569527548,0.988539058,0.868960921,0.999983982,0.981112884,0.991276192,0.976715464,0.973965504,0.934845705,0.793577433,0.742691325
81,81,81,1.3,Existing classes can be reused Program maintenance and verifications are easy,3,5,4,0.139374316,0.860625684,0.822155294,0.243221238,0.335815933,0.992030309,0.908878261,0.999964196,0.957782527,0.936244931,0.829832657,0.986482269,0.966170337,0.52902472,0.412922784
82,82,82,1.3,1- Existing classes can be reused 2- Program maintenance and verification are easier,3,4,3.5,0.148076177,0.851923823,0.811051527,0.200486139,0.298309632,0.990211513,0.888082988,0.9999654,0.959202559,0.902282327,0.739183769,0.985924078,0.9647734,0.485262334,0.358372378
83,83,83,1.3,Information can be hidden. It is easier to debug. Programming is easier and more manageable.,3,4,3.5,0.09588027,0.90411973,0.877654657,0.374577552,0.451100314,0.990356511,0.889740833,0.999960537,0.953468111,0.930219265,0.813749676,0.989490094,0.973697762,0.432866603,0.293060389
84,84,84,1.3,"Existing classes can be reused, program maintenance and verification are   easier.",3,4,3.5,0.10087049,0.89912951,0.871287026,0.396600246,0.47042845,0.983213942,0.808076018,0.999977177,0.973089522,0.964524911,0.90531417,0.988757606,0.971864627,0.511731803,0.391366929
85,85,85,1.3,existing classes can be reused program maintenance and verification are easier,3,4,3.5,0.13597405,0.86402595,0.826494109,0.214885563,0.310947233,0.991908064,0.907480572,0.999955874,0.947970187,0.941106705,0.842809118,0.982302168,0.955709158,0.511731803,0.391366929
86,86,86,1.3,"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. ",3,4,3.5,0.113355339,0.886644661,0.855356084,0.293572515,0.380006545,0.972227674,0.682464143,0.999942248,0.931904387,0.772863094,0.393753557,0.980163606,0.950357162,0.559953749,0.451476238
87,87,87,1.4,At function â€˜int main ()â€™,5,5,5,0.060131133,0.939868867,0.923271346,0.525377095,0.583448972,0.987880403,0.861430164,0.999850121,0.82327581,0.969044976,0.917378582,0.910464427,0.77592702,0.87754494,0.84735796
88,88,88,1.4,the Function main().,5,5,5,0.038246572,0.961753428,0.951196529,0.746781647,0.777763854,0.990770313,0.894472052,0.999905916,0.889064614,0.967868631,0.914238824,0.790787242,0.476421219,0.905438185,0.882127268
89,89,89,1.4,c++ programs begin to execute in the main method.,5,5,5,0.054554045,0.945445955,0.930387833,0.444032133,0.512056868,0.991155981,0.898881606,0.999877902,0.8560322,0.98978647,0.972739277,0.893469916,0.733396318,0.76114583,0.702264893
90,90,90,1.4,A C++ program will begin to execute at the main() function.,5,5,5,0.035574973,0.964425027,0.954605549,0.610269249,0.657954255,0.988429769,0.867711358,0.999890896,0.871353897,0.973459545,0.929161418,0.917020154,0.792333474,0.899647832,0.874909514
91,91,91,1.4,They begin in the main() function.,5,5,5,0.038173616,0.961826384,0.951289623,0.708941877,0.74455392,0.989254305,0.877138727,0.999912462,0.896782787,0.991696632,0.977837651,0.793493109,0.48319296,0.851059496,0.814343496
92,92,92,1.4,Int main(),5,5,5,0.116346717,0.883653283,0.851539019,0.354132265,0.433156584,0.985748467,0.837054596,0.999852542,0.826130475,0.95985144,0.892840304,0.790787242,0.476421219,0.739331186,0.675072643
93,93,93,1.4,main method,5,5,5,0.118505597,0.881494403,0.84878424,0.364448965,0.442210997,0.985027065,0.828806432,0.99991737,0.902569414,0.960484246,0.894529314,0.895963817,0.73963759,0.772749722,0.716729301
94,94,94,1.4,in the testing phase,0,0,0,0.099658906,0.900341094,0.872833034,0.01915854,0.13916814,0.990615035,0.892696672,0.999919427,0.904995249,0.978150148,0.941681009,0.846229604,0.615172051,0.449217975,0.313442595
